id_k2;nazev;zkratka;mena;cena;mnozstvi;
41946;  PAJECI KOLIK 4022 007 45740                                    ;  PAJECI KOLIK 4022 007 45740                                    ;CZK;1,82000;2;
7508;  VODIC CVB 0,12 BILY                                            ;  VODIC CVB 0,12 BILY                                            ;CZK;0,04000;1;
41894;  LM340T-5.0 (TO220-3) RoHS                                      ;  LM340T-5.0 (TO220-3) RoHS                                      ;EUR;0,58000;1;
29460;  PODLOZKA SILIKONOVA pro TO220                                  ;  PODLOZKA SILIKONOVA pro TO220                                  ;CZK;0,70000;2;
9196;  7905 (TO-220)                                                  ;  7905 (TO-220)                                                  ;EUR;0,73600;1;
41994;  MATICE M3 DIN 934-A4  (BN 629)                                 ;  MATICE M3 DIN 934-A4  (BN 629)                                 ;CZK;0,17000;2;
41917;  PODLOZKA 3 DIN 128A-A4 (BN 8856)                               ;  PODLOZKA 3 DIN 128A-A4 (BN 8856)                               ;CZK;0,62300;2;
1141;  PRUCHODKA IB2 (pro TO220)                                      ;  PRUCHODKA IB2 (pro TO220)                                      ;CZK;0,49460;1;
41989;  SROUB M3X8 ISO 14583-A4 (BN 20038)                             ;  SROUB M3X8 ISO 14583-A4 (BN 20038)                             ;CZK;0,66000;2;
41941;DISTANCNI SLOUPEK M4x20 MM 5.04.203 (poniklovaný)                 ;DISTANCNI SLOUPEK M4x20 MM 5.04.203 (poniklovaný)                 ;CZK;3,89310;4;
41993;PODLOZKA 4,3 DIN 125-A4 (BN 671)                                  ;PODLOZKA 4,3 DIN 125-A4 (BN 671)                                  ;CZK;0,19000;8;
41938;VIKO 4022 197 52082                                               ;VIKO 4022 197 52082                                               ;CZK;369,11000;1;
41902;ZASUVKA COAX. 22 H4-50-0-1 / 133 NE (50R, na panel)               ;ZASUVKA COAX. 22 H4-50-0-1 / 133 NE (50R, na panel)               ;CZK;244,00000;1;
42302;PODLOZKA 9,6   72Z-0-0-1/---5H  (pro BNC, s pájecím oèkem)      ;PODLOZKA 9,6   72Z-0-0-1/---5H  (pro BNC, s pájecím oèkem)      ;CZK;10,00000;1;
14213;DISTANCNI SLOUPEK M3x10 MM 5.13.109 NEREZ                         ;DISTANCNI SLOUPEK M3x10 MM 5.13.109 NEREZ                         ;CZK;5,50230;2;
41954;O-KROUZEK 1,78 x 69,57 VITON, FEI                                 ;O-KROUZEK 1,78 x 69,57 VITON, FEI                                 ;CZK;21,20000;1;
