idp;idm;zkratka;nazev;pocet;cena_kc;cena_cm;mena;id_k2
1;117;M1/X7R/25V C0603 C501;M1/X7R/25V C0603 C501;1;0,030;0,030;CZK;23145
1;118;1M/X5R/16V C0603 C502;1M/X5R/16V C0603 C502;1;0,090;0,090;CZK;38096
1;119;1M/X5R/16V C0603 C503;1M/X5R/16V C0603 C503;1;0,003;0,003;CZK;38096
1;120;M22/X7R/16V C0603 C504;M22/X7R/16V C0603 C504;1;0,100;0,100;CZK;37967
1;121;10M/X5R/25V C1206 C505;10M/X5R/25V C1206 C505;1;0,430;0,430;CZK;39379
1;122;M1/X7R/50V C1206 C506;M1/X7R/50V C1206 C506;1;0,110;0,110;CZK;9611
1;123;M1/X7R/50V C1206 C507;M1/X7R/50V C1206 C507;1;0,110;0,110;CZK;9611
1;124;;;1;0,800;0,800;CZK;43183
1;125;1N/X7R/50V C1206 C509;1N/X7R/50V C1206 C509;1;0,120;0,120;CZK;20185
1;126;1N/X7R/50V C1206 C510;1N/X7R/50V C1206 C510;1;0,120;0,120;CZK;20185
1;127;M1/X7R/50V C1206 C601;M1/X7R/50V C1206 C601;1;0,110;0,110;CZK;9611
1;128;;;1;0,800;0,800;CZK;43183
1;129;10N/X7R/50V C1206 C603;10N/X7R/50V C1206 C603;1;0,120;0,120;CZK;10918
1;130;10N/X7R/50V C1206 C604;10N/X7R/50V C1206 C604;1;0,120;0,120;CZK;10918
1;131;1M/X5R/16V C1206 C605;1M/X5R/16V C1206 C605;1;0,240;0,240;CZK;36008
1;132;1M/X7R/50V C1206 C606;1M/X7R/50V C1206 C606;1;0,240;0,240;CZK;27698
1;133;6M8/100V-X7R/-+20% C2220 C607;6M8/100V-X7R/-+20% C2220 C607;1;14,220;14,220;CZK;47452
1;134;NUP2105L SOT23 D201;NUP2105L SOT23 D201;1;2,240;2,240;CZK;27674
1;135;1N4148MICRO-MELF MICRO-MELF D202;1N4148MICRO-MELF MICRO-MELF D202;1;0,250;0,250;CZK;28390
1;136;1N4148MICRO-MELF MICRO-MELF D203;1N4148MICRO-MELF MICRO-MELF D203;1;0,250;0,250;CZK;28390
1;137;1N4148MICRO-MELF MICRO-MELF D204;1N4148MICRO-MELF MICRO-MELF D204;1;0,250;0,250;CZK;28390
1;138;1N4148MICRO-MELF MICRO-MELF D205;1N4148MICRO-MELF MICRO-MELF D205;1;0,250;0,250;CZK;28390
1;139;1N4148MICRO-MELF MICRO-MELF D206;1N4148MICRO-MELF MICRO-MELF D206;1;0,250;0,250;CZK;28390
1;140;MBRS140T3 SMB-403A D207;MBRS140T3 SMB-403A D207;1;0,900;0,900;CZK;19209
1;141;MBRS340T3 SMC D301;MBRS340T3 SMC D301;1;1,410;1,410;CZK;15232
1;142;MBRS140T3 SMB-403A D302;MBRS140T3 SMB-403A D302;1;0,900;0,900;CZK;19209
1;143;1N4148MICRO-MELF MICRO-MELF D401;1N4148MICRO-MELF MICRO-MELF D401;1;0,250;0,250;CZK;28390
